,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83050],0.019,0.092,-0.147,0.198,0.0,0.001,40401.0,19506.0,1.0
1|practice_id[A83051],-0.209,0.091,-0.381,-0.041,0.0,0.001,39167.0,19077.0,1.0
1|practice_id[A83054],0.168,0.09,0.001,0.339,0.0,0.001,36366.0,19925.0,1.0
1|practice_id[A83055],-0.369,0.09,-0.54,-0.203,0.0,0.001,37487.0,19995.0,1.0
1|practice_id[A83057],-0.265,0.09,-0.435,-0.096,0.0,0.001,36306.0,19092.0,1.0
1|practice_id[A83060],0.128,0.09,-0.045,0.296,0.0,0.001,39865.0,19063.0,1.0
1|practice_id[A83061],-0.16,0.091,-0.333,0.007,0.0,0.001,36935.0,19914.0,1.0
1|practice_id[A83066],-0.003,0.09,-0.175,0.16,0.0,0.001,38165.0,18665.0,1.0
1|practice_id[A83068],-0.173,0.219,-0.576,0.247,0.001,0.001,33150.0,18050.0,1.0
1|practice_id[A83070],0.021,0.09,-0.146,0.192,0.0,0.001,34823.0,19799.0,1.0
1|practice_id[A83071],-0.4,0.09,-0.569,-0.23,0.0,0.001,41538.0,17606.0,1.0
1|practice_id[A83073],0.234,0.092,0.059,0.403,0.0,0.001,39847.0,18346.0,1.0
1|practice_id[A83074],0.23,0.089,0.061,0.397,0.0,0.001,39762.0,18778.0,1.0
1|practice_id[A83075],-0.522,0.09,-0.685,-0.35,0.0,0.001,39460.0,18883.0,1.0
1|practice_id[A83076],-0.097,0.111,-0.311,0.11,0.001,0.001,36676.0,18316.0,1.0
1|practice_id[A83610],-0.03,0.09,-0.194,0.141,0.0,0.001,36548.0,19169.0,1.0
1|practice_id[A83616],-0.338,0.091,-0.51,-0.168,0.0,0.001,35788.0,19389.0,1.0
1|practice_id[A83618],-0.117,0.091,-0.288,0.054,0.0,0.001,38999.0,19764.0,1.0
1|practice_id[A83619],-0.104,0.089,-0.269,0.065,0.0,0.001,36752.0,19451.0,1.0
1|practice_id[A83626],-0.217,0.09,-0.387,-0.047,0.0,0.001,36789.0,18615.0,1.0
1|practice_id[A83627],0.325,0.091,0.15,0.491,0.0,0.001,38401.0,19008.0,1.0
1|practice_id[A83632],0.183,0.091,0.015,0.358,0.0,0.001,39684.0,19788.0,1.0
1|practice_id[A83634],0.104,0.09,-0.065,0.275,0.0,0.001,38804.0,18437.0,1.0
1|practice_id[A83635],0.312,0.09,0.149,0.485,0.0,0.001,35901.0,18465.0,1.0
1|practice_id[A83636],0.404,0.091,0.232,0.575,0.0,0.001,34993.0,18639.0,1.0
1|practice_id[A83637],-0.561,0.092,-0.727,-0.381,0.0,0.001,42122.0,18707.0,1.0
1|practice_id[A83638],-0.571,0.169,-0.894,-0.258,0.001,0.001,30419.0,18051.0,1.0
1|practice_id[A83641],0.711,0.09,0.538,0.877,0.0,0.001,36570.0,18514.0,1.0
1|practice_id[A83644],0.312,0.091,0.149,0.492,0.0,0.001,40300.0,18765.0,1.0
