,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83051],0.145,0.088,-0.023,0.31,0.0,0.001,31877.0,19127.0,1.0
1|practice_id[A83054],-0.069,0.088,-0.236,0.094,0.0,0.001,31018.0,19506.0,1.0
1|practice_id[A83055],-0.135,0.087,-0.299,0.029,0.001,0.001,30117.0,20089.0,1.0
1|practice_id[A83057],-0.174,0.088,-0.34,-0.01,0.001,0.001,30191.0,19545.0,1.0
1|practice_id[A83060],-0.127,0.088,-0.292,0.037,0.0,0.001,32553.0,20170.0,1.0
1|practice_id[A83061],-0.25,0.089,-0.419,-0.087,0.001,0.001,30340.0,18983.0,1.0
1|practice_id[A83066],0.124,0.088,-0.048,0.282,0.001,0.001,30035.0,19345.0,1.0
1|practice_id[A83068],-0.254,0.212,-0.646,0.146,0.001,0.001,28335.0,19211.0,1.0
1|practice_id[A83070],-0.089,0.087,-0.257,0.072,0.001,0.001,28988.0,19917.0,1.0
1|practice_id[A83071],-0.236,0.088,-0.398,-0.066,0.0,0.001,32006.0,19661.0,1.0
1|practice_id[A83073],0.048,0.089,-0.116,0.218,0.0,0.001,34052.0,18166.0,1.0
1|practice_id[A83074],0.587,0.088,0.421,0.753,0.0,0.001,33232.0,20242.0,1.0
1|practice_id[A83075],-0.372,0.089,-0.539,-0.205,0.0,0.001,32180.0,20022.0,1.0
1|practice_id[A83076],0.096,0.106,-0.1,0.297,0.001,0.001,27882.0,19877.0,1.0
1|practice_id[A83610],-0.12,0.089,-0.281,0.051,0.001,0.001,30960.0,19609.0,1.0
1|practice_id[A83616],-0.285,0.088,-0.448,-0.117,0.0,0.001,32171.0,19739.0,1.0
1|practice_id[A83618],-0.039,0.088,-0.21,0.122,0.0,0.001,31247.0,20120.0,1.0
1|practice_id[A83619],0.1,0.089,-0.069,0.266,0.001,0.001,30375.0,19151.0,1.0
1|practice_id[A83626],-0.327,0.088,-0.486,-0.151,0.0,0.001,31330.0,18912.0,1.0
1|practice_id[A83627],0.461,0.088,0.297,0.627,0.0,0.001,31483.0,19864.0,1.0
1|practice_id[A83632],0.378,0.09,0.211,0.547,0.0,0.001,36987.0,19138.0,1.0
1|practice_id[A83634],-0.006,0.088,-0.171,0.16,0.0,0.001,31403.0,19197.0,1.0
1|practice_id[A83635],0.032,0.088,-0.129,0.2,0.001,0.001,28023.0,18814.0,1.0
1|practice_id[A83636],0.096,0.088,-0.067,0.263,0.0,0.001,33490.0,19944.0,1.0
1|practice_id[A83637],-0.557,0.088,-0.723,-0.393,0.0,0.001,37416.0,20852.0,1.0
1|practice_id[A83638],-0.729,0.164,-1.052,-0.434,0.001,0.001,22649.0,18725.0,1.0
1|practice_id[A83641],0.76,0.088,0.6,0.931,0.0,0.001,32912.0,18794.0,1.0
1|practice_id[A83644],-0.174,0.089,-0.339,-0.005,0.0,0.001,33513.0,18817.0,1.0
1|practice_id[A84002],0.165,0.09,-0.001,0.335,0.001,0.001,31317.0,19841.0,1.0
1|practice_id[A84003],0.675,0.088,0.508,0.839,0.001,0.001,29955.0,20156.0,1.0
1|practice_id[A84005],-0.245,0.087,-0.412,-0.084,0.0,0.001,31645.0,19675.0,1.0
1|practice_id[A84006],0.077,0.088,-0.088,0.243,0.0,0.001,31087.0,19562.0,1.0
1|practice_id[A84007],-0.134,0.087,-0.298,0.028,0.001,0.001,29747.0,19972.0,1.0
1|practice_id[A84008],-0.102,0.089,-0.269,0.064,0.0,0.001,32142.0,19099.0,1.0
1|practice_id[A84009],-0.005,0.088,-0.171,0.16,0.0,0.001,33465.0,19927.0,1.0
1|practice_id[A84011],-0.095,0.088,-0.256,0.074,0.0,0.001,30877.0,18045.0,1.0
1|practice_id[A84013],-0.589,0.087,-0.753,-0.426,0.0,0.001,32563.0,18460.0,1.0
1|practice_id[A84014],-0.198,0.088,-0.358,-0.031,0.0,0.001,32438.0,20047.0,1.0
1|practice_id[A84015],0.517,0.088,0.353,0.683,0.001,0.001,29548.0,19442.0,1.0
1|practice_id[A84018],0.06,0.088,-0.104,0.226,0.0,0.001,30996.0,20033.0,1.0
1|practice_id[A84020],-0.569,0.088,-0.735,-0.403,0.001,0.001,30553.0,20510.0,1.0
1|practice_id[A84021],1.36,0.145,1.082,1.627,0.001,0.001,26251.0,18946.0,1.0
1|practice_id[A84022],0.118,0.088,-0.046,0.285,0.001,0.001,30550.0,18562.0,1.0
1|practice_id[A84024],-0.194,0.099,-0.38,-0.007,0.0,0.001,48246.0,16532.0,1.0
